2015-03-18 12:44:40,930:ERROR:JuggleFest.parse_input_file@L181: Failed to open the inputfile.
2015-03-18 12:44:40,934:WARNING:JuggleFest.<module>@L308: A problem was encountered while processing inputfile.
2015-03-18 12:45:40,049:ERROR:JuggleFest.parse_input_file@L181: Failed to open the inputfile.
2015-03-18 12:45:40,051:WARNING:JuggleFest.<module>@L308: A problem was encountered while processing inputfile.
2015-03-18 12:45:53,513:ERROR:JuggleFest.parse_input_file@L182: Failed to open the inputfile.
2015-03-18 12:45:53,513:WARNING:JuggleFest.<module>@L309: A problem was encountered while processing inputfile.
2015-03-18 12:46:22,151:DEBUG:JuggleFest.__init__@L145:JuggleFest v0.1.4 has loaded.
2015-03-18 12:46:22,153:DEBUG:JuggleFest.__init__@L146:Logging to File: True. Verbose Logging to Console: True.
2015-03-18 12:46:22,154:ERROR:JuggleFest.parse_input_file@L181: Failed to open the inputfile.
2015-03-18 12:46:22,154:WARNING:JuggleFest.<module>@L308: A problem was encountered while processing inputfile.
2015-03-18 12:46:34,108:ERROR:JuggleFest.parse_input_file@L181: Failed to open the inputfile.
2015-03-18 12:46:34,109:WARNING:JuggleFest.<module>@L308: A problem was encountered while processing inputfile.
2015-03-18 12:49:30,581:ERROR:JuggleFest.parse_input_file@L181: Failed to open the inputfile.
2015-03-18 12:49:30,582:WARNING:JuggleFest.<module>@L308: A problem was encountered while processing inputfile.
2015-03-18 12:49:41,334:DEBUG:JuggleFest.__init__@L145:JuggleFest v0.1.4 has loaded.
2015-03-18 12:49:41,335:DEBUG:JuggleFest.__init__@L146:Logging to File: True. Verbose Logging to Console: True.
2015-03-18 12:49:41,335:ERROR:JuggleFest.parse_input_file@L181: Failed to open the inputfile.
2015-03-18 12:49:41,336:WARNING:JuggleFest.<module>@L308: A problem was encountered while processing inputfile.
2015-03-18 12:50:35,312:DEBUG:JuggleFest.__init__@L145:JuggleFest v0.1.4 has loaded.
2015-03-18 12:50:35,312:DEBUG:JuggleFest.__init__@L146:Logging to File: True. Verbose Logging to Console: False.
2015-03-18 12:50:35,312:ERROR:JuggleFest.parse_input_file@L181: Failed to open the inputfile.
2015-03-18 12:50:35,313:WARNING:JuggleFest.<module>@L308: A problem was encountered while processing inputfile.
2015-03-18 12:50:48,150:DEBUG:JuggleFest.__init__@L145:JuggleFest v0.1.4 has loaded.
2015-03-18 12:50:48,150:DEBUG:JuggleFest.__init__@L146:Logging to File: True. Verbose Logging to Console: False.
2015-03-18 12:51:26,752:DEBUG:JuggleFest.__init__@L145:JuggleFest v0.1.4 has loaded.
2015-03-18 12:51:26,752:DEBUG:JuggleFest.__init__@L146:Logging to File: True. Verbose Logging to Console: False.
2015-03-18 12:51:26,753:DEBUG:JuggleFest.parse_input_file@L185:0 circuits and 0 jugglers parsed from inputfile.
2015-03-18 12:52:02,892:DEBUG:JuggleFest.__init__@L145:JuggleFest v0.1.4 has loaded.
2015-03-18 12:52:02,894:DEBUG:JuggleFest.__init__@L146:Logging to File: True. Verbose Logging to Console: True.
2015-03-18 12:52:02,894:DEBUG:JuggleFest.parse_input_file@L185:0 circuits and 0 jugglers parsed from inputfile.
2015-03-18 12:52:29,611:DEBUG:JuggleFest.__init__@L145:JuggleFest v0.1.4 has loaded.
2015-03-18 12:52:29,611:DEBUG:JuggleFest.__init__@L146:Logging to File: True. Verbose Logging to Console: True.
2015-03-18 12:52:29,612:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #0: H:10, E:8, P:10, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,634:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #28: H:10, E:1, P:10, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,634:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #29: H:3, E:7, P:0, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,635:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #30: H:1, E:1, P:10, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,635:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #31: H:2, E:10, P:10, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,637:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #32: H:1, E:9, P:5, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,638:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #33: H:9, E:4, P:0, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,638:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #34: H:5, E:5, P:6, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,640:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #35: H:6, E:2, P:5, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,641:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #36: H:7, E:6, P:8, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,641:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #37: H:4, E:4, P:8, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,641:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #38: H:10, E:6, P:2, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,642:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #39: H:9, E:2, P:2, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,644:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #40: H:2, E:5, P:7, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,644:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #41: H:8, E:1, P:4, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,644:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #42: H:6, E:0, P:10, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,645:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #43: H:1, E:3, P:9, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,647:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #44: H:5, E:5, P:7, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,648:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #45: H:3, E:10, P:10, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,650:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #46: H:7, E:3, P:5, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,651:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #47: H:4, E:2, P:5, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,653:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #48: H:2, E:4, P:7, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,654:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #49: H:4, E:6, P:7, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,654:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #50: H:5, E:5, P:2, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,655:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #51: H:9, E:3, P:1, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,657:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #52: H:8, E:1, P:3, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,657:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #53: H:8, E:10, P:10, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,658:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #54: H:3, E:10, P:0, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,660:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #55: H:1, E:4, P:1, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,660:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #56: H:0, E:6, P:4, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,661:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #57: H:0, E:5, P:8, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,661:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #58: H:9, E:9, P:1, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,663:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #59: H:1, E:4, P:3, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,664:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #60: H:8, E:7, P:3, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,664:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #61: H:1, E:8, P:4, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,664:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #62: H:10, E:6, P:8, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,667:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #63: H:4, E:7, P:5, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,667:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #64: H:5, E:7, P:7, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,668:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #65: H:4, E:1, P:10, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,670:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #66: H:8, E:0, P:10, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,671:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #67: H:5, E:8, P:4, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,671:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #68: H:3, E:7, P:7, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,671:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #69: H:9, E:4, P:10, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,673:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #70: H:8, E:8, P:2, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,673:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #71: H:10, E:3, P:9, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,674:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #72: H:3, E:5, P:4, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,674:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #73: H:0, E:0, P:1, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,674:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #74: H:2, E:7, P:10, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,676:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #75: H:8, E:5, P:8, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,677:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #76: H:5, E:5, P:2, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,677:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #77: H:3, E:0, P:4, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,677:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #78: H:0, E:4, P:3, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,678:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #79: H:6, E:9, P:6, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,680:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #80: H:7, E:10, P:4, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,680:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #81: H:1, E:0, P:0, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,680:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #82: H:1, E:9, P:6, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,681:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #83: H:4, E:2, P:3, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,683:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #84: H:6, E:1, P:8, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,684:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #85: H:2, E:1, P:4, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,686:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #86: H:6, E:6, P:1, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,687:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #87: H:2, E:6, P:7, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,687:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #88: H:7, E:1, P:8, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,687:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #89: H:8, E:10, P:9, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,688:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #90: H:2, E:5, P:8, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,690:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #91: H:6, E:7, P:2, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,690:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #92: H:8, E:10, P:10, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,690:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #93: H:4, E:10, P:0, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,691:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #94: H:10, E:4, P:10, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,693:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #95: H:6, E:3, P:3, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,694:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #96: H:2, E:1, P:10, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,694:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #97: H:8, E:2, P:5, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,696:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #98: H:7, E:4, P:9, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,696:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #99: H:10, E:2, P:3, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,697:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #100: H:1, E:6, P:10, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,697:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #101: H:10, E:9, P:6, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,698:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #102: H:0, E:6, P:3, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,700:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #103: H:0, E:7, P:3, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,701:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #104: H:9, E:7, P:7, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,703:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #105: H:6, E:10, P:1, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,703:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #106: H:8, E:1, P:8, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,703:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #107: H:8, E:5, P:5, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,704:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #108: H:6, E:2, P:5, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,706:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #109: H:10, E:4, P:6, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,707:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #110: H:5, E:9, P:3, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,707:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #111: H:3, E:7, P:4, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,707:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #112: H:10, E:5, P:0, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,709:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #113: H:7, E:10, P:6, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,709:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #114: H:8, E:10, P:2, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,710:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #115: H:5, E:3, P:9, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,710:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #116: H:0, E:3, P:4, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,711:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #117: H:3, E:5, P:0, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,711:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #118: H:1, E:9, P:2, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,713:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #119: H:6, E:6, P:5, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,713:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #120: H:5, E:10, P:10, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,714:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #121: H:3, E:8, P:10, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,714:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #122: H:9, E:1, P:9, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,714:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #123: H:5, E:7, P:0, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,716:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #124: H:4, E:6, P:10, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,717:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #125: H:7, E:10, P:8, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,719:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #126: H:3, E:10, P:8, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,719:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #127: H:4, E:1, P:4, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,720:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #128: H:7, E:7, P:10, Max:0, Jugglers[0]: >
2015-03-18 12:52:29,720:DEBUG:JuggleFest.parse_input_file@L164:Created Circuit: <Circuit #129: H:0, E:1, P:5, Max:0, Jugglers[0]: >
